Date,Mandi,Crop,Price
2023-01-23,Tiruppur Mandi,Onion,3491.7
2023-01-23,Coimbatore Mandi,Potato,1522.0
2023-01-23,Erode Mandi,Potato,1427.19
2023-01-23,Tiruppur Mandi,Potato,1681.38
2023-01-23,Coimbatore Mandi,Tomato,2293.81
2023-01-23,Erode Mandi,Tomato,2069.43
2023-01-23,Tiruppur Mandi,Tomato,2375.97
2023-01-24,Coimbatore Mandi,Onion,2963.6
2023-01-24,Erode Mandi,Onion,2898.12
2023-01-24,Tiruppur Mandi,Onion,3435.94
2023-01-24,Coimbatore Mandi,Potato,1401.46
2023-01-24,Erode Mandi,Potato,1354.0
2023-01-24,Tiruppur Mandi,Potato,1483.4
2023-01-24,Coimbatore Mandi,Tomato,2043.44
2023-01-24,Erode Mandi,Tomato,1852.86
2023-01-24,Tiruppur Mandi,Tomato,2145.23
2023-01-25,Coimbatore Mandi,Onion,3137.18
2023-01-25,Erode Mandi,Onion,2821.88
2023-01-25,Tiruppur Mandi,Onion,3381.09
2023-01-25,Coimbatore Mandi,Potato,1475.0
2023-01-25,Erode Mandi,Potato,1421.09
2023-01-25,Tiruppur Mandi,Potato,1528.74
2023-01-25,Coimbatore Mandi,Tomato,2004.51
2023-01-25,Erode Mandi,Tomato,2068.96
2023-01-25,Tiruppur Mandi,Tomato,2377.57
2023-01-26,Coimbatore Mandi,Onion,3651.62
2023-01-26,Erode Mandi,Onion,3153.74
2023-01-26,Tiruppur Mandi,Onion,3487.81
2023-01-26,Coimbatore Mandi,Potato,1558.81
2023-01-26,Erode Mandi,Potato,1465.33
2023-01-26,Tiruppur Mandi,Potato,1624.91
2023-01-26,Coimbatore Mandi,Tomato,2225.24
2023-01-26,Erode Mandi,Tomato,1943.71
2023-01-26,Tiruppur Mandi,Tomato,2532.99
2023-01-27,Coimbatore Mandi,Onion,2898.36
2023-01-27,Erode Mandi,Onion,3190.79
2023-01-27,Tiruppur Mandi,Onion,3931.48
2023-01-27,Coimbatore Mandi,Potato,1430.13
2023-01-27,Erode Mandi,Potato,1425.15
2023-01-27,Tiruppur Mandi,Potato,1532.2
2023-01-27,Coimbatore Mandi,Tomato,2129.19
2023-01-27,Erode Mandi,Tomato,2009.01
2023-01-27,Tiruppur Mandi,Tomato,2077.57
2023-01-28,Coimbatore Mandi,Onion,3711.79
2023-01-28,Erode Mandi,Onion,3362.12
2023-01-28,Tiruppur Mandi,Onion,3667.78
2023-01-28,Coimbatore Mandi,Potato,1552.98
2023-01-28,Erode Mandi,Potato,1483.25
2023-01-28,Tiruppur Mandi,Potato,1702.95
2023-01-28,Coimbatore Mandi,Tomato,2395.82
2023-01-28,Erode Mandi,Tomato,2197.4
2023-01-28,Tiruppur Mandi,Tomato,2425.14
2023-01-29,Coimbatore Mandi,Onion,2992.23
2023-01-29,Erode Mandi,Onion,3422.97
2023-01-29,Tiruppur Mandi,Onion,3512.76
2023-01-29,Coimbatore Mandi,Potato,1491.86
2023-01-29,Erode Mandi,Potato,1402.88
2023-01-29,Tiruppur Mandi,Potato,1591.03
2023-01-29,Coimbatore Mandi,Tomato,2336.47
2023-01-29,Erode Mandi,Tomato,2105.44
2023-01-29,Tiruppur Mandi,Tomato,2176.28
2023-01-30,Coimbatore Mandi,Onion,3828.78
2023-01-30,Erode Mandi,Onion,3323.99
2023-01-30,Tiruppur Mandi,Onion,3600.64
2023-01-30,Coimbatore Mandi,Potato,1528.81
2023-01-30,Erode Mandi,Potato,1435.0
2023-01-30,Tiruppur Mandi,Potato,1552.27
2023-01-30,Coimbatore Mandi,Tomato,2203.47
2023-01-30,Erode Mandi,Tomato,1904.6
2023-01-30,Tiruppur Mandi,Tomato,2059.06
2023-01-31,Coimbatore Mandi,Onion,4069.86
2023-01-31,Erode Mandi,Onion,3113.23
2023-01-31,Tiruppur Mandi,Onion,3899.3
2023-01-31,Coimbatore Mandi,Potato,1471.16
2023-01-31,Erode Mandi,Potato,1411.15
2023-01-31,Tiruppur Mandi,Potato,1566.68
2023-01-31,Coimbatore Mandi,Tomato,2070.52
2023-01-31,Erode Mandi,Tomato,1959.96
2023-01-31,Tiruppur Mandi,Tomato,2161.37
2023-02-01,Coimbatore Mandi,Onion,4073.07
2023-02-01,Erode Mandi,Onion,3559.98
2023-02-01,Tiruppur Mandi,Onion,4274.09
2023-02-01,Coimbatore Mandi,Potato,1726.79
2023-02-01,Erode Mandi,Potato,1523.96
2023-02-01,Tiruppur Mandi,Potato,1720.19
2023-02-01,Coimbatore Mandi,Tomato,2286.48
2023-02-01,Erode Mandi,Tomato,2184.46
2023-02-01,Tiruppur Mandi,Tomato,2515.05
2023-02-02,Coimbatore Mandi,Onion,3577.25
2023-02-02,Erode Mandi,Onion,3467.9
2023-02-02,Tiruppur Mandi,Onion,3341.74
2023-02-02,Coimbatore Mandi,Potato,1588.29
2023-02-02,Erode Mandi,Potato,1476.82
2023-02-02,Tiruppur Mandi,Potato,1623.56
2023-02-02,Coimbatore Mandi,Tomato,2162.91
2023-02-02,Erode Mandi,Tomato,2020.65
2023-02-02,Tiruppur Mandi,Tomato,2334.88
2023-02-03,Coimbatore Mandi,Onion,3393.92
2023-02-03,Erode Mandi,Onion,3378.22
2023-02-03,Tiruppur Mandi,Onion,3354.94
2023-02-03,Coimbatore Mandi,Potato,1511.01
2023-02-03,Erode Mandi,Potato,1364.66
2023-02-03,Tiruppur Mandi,Potato,1585.48
2023-02-03,Coimbatore Mandi,Tomato,2099.51
2023-02-03,Erode Mandi,Tomato,2031.74
2023-02-03,Tiruppur Mandi,Tomato,2246.29
2023-02-04,Coimbatore Mandi,Onion,3903.06
2023-02-04,Erode Mandi,Onion,3876.99
2023-02-04,Tiruppur Mandi,Onion,4147.49
2023-02-04,Coimbatore Mandi,Potato,1556.21
2023-02-04,Erode Mandi,Potato,1450.87
2023-02-04,Tiruppur Mandi,Potato,1760.01
2023-02-04,Coimbatore Mandi,Tomato,2247.94
2023-02-04,Erode Mandi,Tomato,2266.46
2023-02-04,Tiruppur Mandi,Tomato,2483.99
2023-02-05,Coimbatore Mandi,Onion,3382.51
2023-02-05,Erode Mandi,Onion,2681.21
2023-02-05,Tiruppur Mandi,Onion,3720.3
2023-02-05,Coimbatore Mandi,Potato,1450.05
2023-02-05,Erode Mandi,Potato,1386.96
2023-02-05,Tiruppur Mandi,Potato,1581.98
2023-02-05,Coimbatore Mandi,Tomato,2146.94
2023-02-05,Erode Mandi,Tomato,1820.0
2023-02-05,Tiruppur Mandi,Tomato,2179.81
2023-02-06,Coimbatore Mandi,Onion,4178.44
2023-02-06,Erode Mandi,Onion,3492.04
2023-02-06,Tiruppur Mandi,Onion,3932.13
2023-02-06,Coimbatore Mandi,Potato,1523.97
2023-02-06,Erode Mandi,Potato,1502.97
2023-02-06,Tiruppur Mandi,Potato,1657.86
2023-02-06,Coimbatore Mandi,Tomato,2256.24
2023-02-06,Erode Mandi,Tomato,2033.51
2023-02-06,Tiruppur Mandi,Tomato,2295.93
2023-02-07,Coimbatore Mandi,Onion,2984.89
2023-02-07,Erode Mandi,Onion,3197.13
2023-02-07,Tiruppur Mandi,Onion,3931.83
2023-02-07,Coimbatore Mandi,Potato,1355.82
2023-02-07,Erode Mandi,Potato,1364.48
2023-02-07,Tiruppur Mandi,Potato,1531.02
2023-02-07,Coimbatore Mandi,Tomato,2113.33
2023-02-07,Erode Mandi,Tomato,1925.59
2023-02-07,Tiruppur Mandi,Tomato,2048.66
2023-02-08,Coimbatore Mandi,Onion,3455.3
2023-02-08,Erode Mandi,Onion,3154.17
2023-02-08,Tiruppur Mandi,Onion,3868.63
2023-02-08,Coimbatore Mandi,Potato,1328.2
2023-02-08,Erode Mandi,Potato,1333.03
2023-02-08,Tiruppur Mandi,Potato,1517.23
2023-02-08,Coimbatore Mandi,Tomato,2179.18
2023-02-08,Erode Mandi,Tomato,1922.77
2023-02-08,Tiruppur Mandi,Tomato,2097.62
2023-02-09,Coimbatore Mandi,Onion,3994.74
2023-02-09,Erode Mandi,Onion,3833.42
2023-02-09,Tiruppur Mandi,Onion,4497.42
2023-02-09,Coimbatore Mandi,Potato,1550.21
2023-02-09,Erode Mandi,Potato,1542.05
2023-02-09,Tiruppur Mandi,Potato,1631.96
2023-02-09,Coimbatore Mandi,Tomato,2093.98
2023-02-09,Erode Mandi,Tomato,2198.39
2023-02-09,Tiruppur Mandi,Tomato,2314.92
2023-02-10,Coimbatore Mandi,Onion,3902.09
2023-02-10,Erode Mandi,Onion,3379.24
2023-02-10,Tiruppur Mandi,Onion,4031.73
2023-02-10,Coimbatore Mandi,Potato,1686.58
2023-02-10,Erode Mandi,Potato,1538.39
2023-02-10,Tiruppur Mandi,Potato,1775.51
2023-02-10,Coimbatore Mandi,Tomato,2204.65
2023-02-10,Erode Mandi,Tomato,2091.39
2023-02-10,Tiruppur Mandi,Tomato,2521.63
2023-02-11,Coimbatore Mandi,Onion,3363.02
2023-02-11,Erode Mandi,Onion,3081.23
2023-02-11,Tiruppur Mandi,Onion,3096.59
2023-02-11,Coimbatore Mandi,Potato,1547.32
2023-02-11,Erode Mandi,Potato,1443.69
2023-02-11,Tiruppur Mandi,Potato,1708.69
2023-02-11,Coimbatore Mandi,Tomato,2410.23
2023-02-11,Erode Mandi,Tomato,2250.86
2023-02-11,Tiruppur Mandi,Tomato,2239.26
2023-02-12,Coimbatore Mandi,Onion,3483.33
2023-02-12,Erode Mandi,Onion,3471.26
2023-02-12,Tiruppur Mandi,Onion,3789.39
2023-02-12,Coimbatore Mandi,Potato,1533.19
2023-02-12,Erode Mandi,Potato,1493.23
2023-02-12,Tiruppur Mandi,Potato,1563.69
2023-02-12,Coimbatore Mandi,Tomato,2226.08
2023-02-12,Erode Mandi,Tomato,2251.75
2023-02-12,Tiruppur Mandi,Tomato,2335.28
2023-02-13,Coimbatore Mandi,Onion,3636.98
2023-02-13,Erode Mandi,Onion,2840.42
2023-02-13,Tiruppur Mandi,Onion,3803.0
2023-02-13,Coimbatore Mandi,Potato,1496.23
2023-02-13,Erode Mandi,Potato,1382.2
2023-02-13,Tiruppur Mandi,Potato,1662.56
2023-02-13,Coimbatore Mandi,Tomato,2200.01
2023-02-13,Erode Mandi,Tomato,2022.8
2023-02-13,Tiruppur Mandi,Tomato,2473.92
2023-02-14,Coimbatore Mandi,Onion,3582.48
2023-02-14,Erode Mandi,Onion,3158.37
2023-02-14,Tiruppur Mandi,Onion,3286.56
2023-02-14,Coimbatore Mandi,Potato,1446.08
2023-02-14,Erode Mandi,Potato,1352.23
2023-02-14,Tiruppur Mandi,Potato,1497.7
2023-02-14,Coimbatore Mandi,Tomato,1937.34
2023-02-14,Erode Mandi,Tomato,2069.68
2023-02-14,Tiruppur Mandi,Tomato,2128.48
2023-02-15,Coimbatore Mandi,Onion,3330.5
2023-02-15,Erode Mandi,Onion,3303.96
2023-02-15,Tiruppur Mandi,Onion,4058.07
2023-02-15,Coimbatore Mandi,Potato,1404.63
2023-02-15,Erode Mandi,Potato,1482.68
2023-02-15,Tiruppur Mandi,Potato,1572.4
2023-02-15,Coimbatore Mandi,Tomato,2152.0
2023-02-15,Erode Mandi,Tomato,2249.84
2023-02-15,Tiruppur Mandi,Tomato,2185.45
2023-02-16,Coimbatore Mandi,Onion,3360.88
2023-02-16,Erode Mandi,Onion,3183.19
2023-02-16,Tiruppur Mandi,Onion,3679.57
2023-02-16,Coimbatore Mandi,Potato,1534.39
2023-02-16,Erode Mandi,Potato,1428.33
2023-02-16,Tiruppur Mandi,Potato,1586.3
2023-02-16,Coimbatore Mandi,Tomato,2102.61
2023-02-16,Erode Mandi,Tomato,1890.33
2023-02-16,Tiruppur Mandi,Tomato,2442.33
2023-02-17,Coimbatore Mandi,Onion,3739.67
2023-02-17,Erode Mandi,Onion,3720.44
2023-02-17,Tiruppur Mandi,Onion,3998.91
2023-02-17,Coimbatore Mandi,Potato,1611.04
2023-02-17,Erode Mandi,Potato,1601.35
2023-02-17,Tiruppur Mandi,Potato,1664.77
2023-02-17,Coimbatore Mandi,Tomato,2317.72
2023-02-17,Erode Mandi,Tomato,2280.14
2023-02-17,Tiruppur Mandi,Tomato,2561.86
2023-02-18,Coimbatore Mandi,Onion,3529.34
2023-02-18,Erode Mandi,Onion,3403.31
2023-02-18,Tiruppur Mandi,Onion,3129.34
2023-02-18,Coimbatore Mandi,Potato,1625.64
2023-02-18,Erode Mandi,Potato,1477.32
2023-02-18,Tiruppur Mandi,Potato,1570.59
2023-02-18,Coimbatore Mandi,Tomato,2198.43
2023-02-18,Erode Mandi,Tomato,2111.35
2023-02-18,Tiruppur Mandi,Tomato,2422.48
2023-02-19,Coimbatore Mandi,Onion,3574.57
2023-02-19,Erode Mandi,Onion,3103.9
2023-02-19,Tiruppur Mandi,Onion,3415.44
2023-02-19,Coimbatore Mandi,Potato,1366.56
2023-02-19,Erode Mandi,Potato,1350.88
2023-02-19,Tiruppur Mandi,Potato,1501.72
2023-02-19,Coimbatore Mandi,Tomato,2150.85
2023-02-19,Erode Mandi,Tomato,1811.53
2023-02-19,Tiruppur Mandi,Tomato,2329.23
2023-02-20,Coimbatore Mandi,Onion,3063.53
2023-02-20,Erode Mandi,Onion,3112.74
2023-02-20,Tiruppur Mandi,Onion,3834.8
2023-02-20,Coimbatore Mandi,Potato,1628.0
2023-02-20,Erode Mandi,Potato,1466.36
2023-02-20,Tiruppur Mandi,Potato,1745.83
2023-02-20,Coimbatore Mandi,Tomato,2362.4
2023-02-20,Erode Mandi,Tomato,2084.86
2023-02-20,Tiruppur Mandi,Tomato,2538.04
2023-02-21,Coimbatore Mandi,Onion,3684.16
2023-02-21,Erode Mandi,Onion,3600.67
2023-02-21,Tiruppur Mandi,Onion,3619.82
2023-02-21,Coimbatore Mandi,Potato,1498.82
2023-02-21,Erode Mandi,Potato,1424.85
2023-02-21,Tiruppur Mandi,Potato,1572.56
2023-02-21,Coimbatore Mandi,Tomato,2146.15
2023-02-21,Erode Mandi,Tomato,1994.8
2023-02-21,Tiruppur Mandi,Tomato,2536.08
2023-02-22,Coimbatore Mandi,Onion,3630.13
2023-02-22,Erode Mandi,Onion,2997.01
2023-02-22,Tiruppur Mandi,Onion,3625.13
2023-02-22,Coimbatore Mandi,Potato,1524.63
2023-02-22,Erode Mandi,Potato,1398.47
2023-02-22,Tiruppur Mandi,Potato,1612.99
2023-02-22,Coimbatore Mandi,Tomato,1955.09
2023-02-22,Erode Mandi,Tomato,2065.49
2023-02-22,Tiruppur Mandi,Tomato,2356.99
2023-02-23,Coimbatore Mandi,Onion,4014.33
2023-02-23,Erode Mandi,Onion,3313.85
2023-02-23,Tiruppur Mandi,Onion,4344.8
2023-02-23,Coimbatore Mandi,Potato,1591.63
2023-02-23,Erode Mandi,Potato,1583.51
2023-02-23,Tiruppur Mandi,Potato,1732.57
2023-02-23,Coimbatore Mandi,Tomato,2278.92
2023-02-23,Erode Mandi,Tomato,2210.23
2023-02-23,Tiruppur Mandi,Tomato,2433.52
2023-02-24,Coimbatore Mandi,Onion,4049.1
2023-02-24,Erode Mandi,Onion,3815.94
2023-02-24,Tiruppur Mandi,Onion,3807.88
2023-02-24,Coimbatore Mandi,Potato,1650.37
2023-02-24,Erode Mandi,Potato,1533.82
2023-02-24,Tiruppur Mandi,Potato,1711.34
2023-02-24,Coimbatore Mandi,Tomato,2502.39
2023-02-24,Erode Mandi,Tomato,2294.63
2023-02-24,Tiruppur Mandi,Tomato,2621.81
2023-02-25,Coimbatore Mandi,Onion,3436.78
2023-02-25,Erode Mandi,Onion,3855.31
2023-02-25,Tiruppur Mandi,Onion,4232.06
2023-02-25,Coimbatore Mandi,Potato,1634.37
2023-02-25,Erode Mandi,Potato,1564.74
2023-02-25,Tiruppur Mandi,Potato,1744.64
2023-02-25,Coimbatore Mandi,Tomato,2399.69
2023-02-25,Erode Mandi,Tomato,2183.31
2023-02-25,Tiruppur Mandi,Tomato,2417.77
2023-02-26,Coimbatore Mandi,Onion,3462.19
2023-02-26,Erode Mandi,Onion,3374.97
2023-02-26,Tiruppur Mandi,Onion,3483.63
2023-02-26,Coimbatore Mandi,Potato,1467.34
2023-02-26,Erode Mandi,Potato,1448.73
2023-02-26,Tiruppur Mandi,Potato,1551.62
2023-02-26,Coimbatore Mandi,Tomato,1989.54
2023-02-26,Erode Mandi,Tomato,2302.44
2023-02-26,Tiruppur Mandi,Tomato,2462.14
2023-02-27,Coimbatore Mandi,Onion,3784.6
2023-02-27,Erode Mandi,Onion,3310.27
2023-02-27,Tiruppur Mandi,Onion,4061.02
2023-02-27,Coimbatore Mandi,Potato,1560.79
2023-02-27,Erode Mandi,Potato,1444.71
2023-02-27,Tiruppur Mandi,Potato,1621.22
2023-02-27,Coimbatore Mandi,Tomato,2176.65
2023-02-27,Erode Mandi,Tomato,2191.17
2023-02-27,Tiruppur Mandi,Tomato,2418.5
2023-02-28,Coimbatore Mandi,Onion,3939.93
2023-02-28,Erode Mandi,Onion,3203.29
2023-02-28,Tiruppur Mandi,Onion,3767.09
2023-02-28,Coimbatore Mandi,Potato,1568.68
2023-02-28,Erode Mandi,Potato,1532.25
2023-02-28,Tiruppur Mandi,Potato,1718.81
2023-02-28,Coimbatore Mandi,Tomato,2402.87
2023-02-28,Erode Mandi,Tomato,2145.72
